iter	Logloss
284	0.5167972141
285	0.516673957
286	0.5165616353
287	0.5164526622
288	0.5163222419
289	0.5160973443
290	0.515984514
291	0.515874015
292	0.5158000522
293	0.5157182058
294	0.515569814
295	0.5154666477
296	0.5152734545
297	0.5150765313
298	0.5149311066
299	0.5147529602
300	0.5146318224
301	0.5145016564
302	0.514328342
303	0.5142085605
304	0.5140978919
305	0.5139187283
306	0.5139141507
307	0.5137749566
308	0.5136345334
309	0.5135229323
310	0.5133270264
311	0.5132206387
312	0.5129415724
313	0.5128314548
314	0.5127451579
315	0.5126562754
316	0.5125214895
317	0.5124209934
318	0.5123163011
319	0.5122676426
320	0.5121232775
321	0.5118454403
322	0.5117111206
323	0.5116479662
324	0.5115275913
325	0.511324056
326	0.5112554762
327	0.5110948351
328	0.5108997769
329	0.5107401954
330	0.5106209225
331	0.5104273902
332	0.5102626801
333	0.5102385203
334	0.5101570977
335	0.5100382487
336	0.5099558512
337	0.5098782857
338	0.5097892337
339	0.5097388373
340	0.5096027798
341	0.509475157
342	0.5094522264
343	0.5092692905
344	0.5090461731
345	0.5090175629
346	0.5088745965
347	0.508348	0.5098490397
349	0.5096871694
350	0.5096014235
351	0.5093747881
352	0.5092956543
353	0.5090944078
354	0.5089787801
355	0.5088865916
356	0.5087840186
357	0.5086096022
358	0.5084815979
359	0.5083605448
360	0.5082531823
361	0.5081565009
362	0.5081302643
363	0.5080503252
364	0.5079498291
365	0.5078245799
366	0.5077452766
367	0.507639228
368	0.5075347053
369	0.5074667613
370	0.5074113634
371	0.5072725084
372	0.507156584
373	0.5070226034
374	0.5068971422
375	0.5066274855
376	0.506548818
377	0.506477695
378	0.5064666748
379	0.5064037747
380	0.5062011719
381	0.5060924106
382	0.5060139126
383	0.505896208
384	0.5058585697
385	0.5057881673
386	0.5056844499
387	0.5054547628
388	0.5053147634
389	0.5051650153
390	0.5050747342
391	0.5050125122
392	0.5048425886
393	0.5048016018
394	0.5047101339
395	0.5046349419
396	0.5045307159
397	0.5043365055
398	0.5042184618
399	0.5040911357
400	0.5040898641
401	0.5040103488
402	0.5039821625
403	0.5038483514
404	0.5037767198
405	0.5036247253
406	0.5036219279
407	0.5035179138
408	0.503377533
409	0.5032748752
410	0.5031494988
411	0.503098721
412	0.5030808767
413	0.502945794
414	0.5027796427
415	0.5027789646
416	0.5027002123
417	0.5026176029
418	0.5024822235
419	0.5023978339
420	0.5023861779
421	0.5022556729
422	0.5021966298
423	0.5021004571
424	0.5019784292
425	0.5018312242
426	0.5017050849
427	0.5016234504
428	0.501549742
429	0.5014987946
430	0.5014266968
431	0.5013674418
432	0.5012508816
433	0.5011758169
434	0.5010109795
435	0.5009389242
436	0.5007926093
437	0.5007898543
438	0.5007353465
439	0.5006823222
440	0.5006214566
441	0.5005451202
442	0.5004044427
443	0.5001580556
444	0.5000860426
445	0.5000147925
446	0.5000004662
447	0.4998631795
448	0.4997981177
449	0.4996685028
450	0.4994383918
451	0.4992337121
452	0.4991032918
453	0.4990441216
454	0.4989013672
455	0.4987481859
456	0.4986425612
457	0.4985414717
458	0.4984558105
459	0.498386044
460	0.4983436161
461	0.4983011882
462	0.4982117547
463	0.4980656094
464	0.4979313744
465	0.4978458828
466	0.4976095412
467	0.4974893358
468	0.497470008
469	0.4974563599
470	0.4973569234
471	0.4972153558
472	0.497072347
473	0.4969139947
474	0.4968266805
475	0.4967302958
476	0.4966309441
477	0.4964517381
478	0.4964330461
479	0.496332211
480	0.4962591807
481	0.4961695353
482	0.4960384369
483	0.4959347619
484	0.4959337446
485	0.4958820343
486	0.4958469391
487	0.4957007938
488	0.4956022898
489	0.4955467224
490	0.4955217573
491	0.4954823388
492	0.4953887092
493	0.4953003354
494	0.4952928755
495	0.495220693
496	0.4950937907
497	0.494967058
498	0.4948667314
499	0.4948416816
500	0.4947587331
501	0.4946905348
502	0.4946877374
503	0.4946027968
504	0.4945229424
505	0.494415368
506	0.4943609873
507	0.4941800435
508	0.4941229926
509	0.4940727234
510	0.4940114763
511	0.4939944373
512	0.4939238654
513	0.4937792884
514	0.4936159346
515	0.4935113695
516	0.4934856415
517	0.4933431837
518	0.493185891
519	0.4929949866
520	0.4929623922
521	0.4928671519
522	0.4926670498
523	0.4926255968
524	0.4924233754
525	0.4922120836
526	0.4921507941
527	0.4879582723
528	0.4878404405
529	0.4877670288
530	0.4877002292
531	0.4876250797
532	0.4876125336
533	0.4875565847
534	0.4874697367
535	0.4873429192
536	0.4872996012
537	0.4871305254
538	0.4871268378
539	0.4870625814
540	0.4869761149
541	0.4868313683
542	0.4867917379
543	0.4866521623
544	0.4865570916
545	0.4864807977
546	0.4864250183
547	0.4862841288
548	0.4860772027
549	0.4859065586
550	0.485834927
551	0.4857519362
552	0.4856646644
553	0.4855137295
554	0.4853441874
555	0.4852034675
556	0.4851191627
557	0.4849241892
558	0.4847718557
559	0.4846918742
560	0.4846452501
561	0.4845216539
562	0.4843723721
563	0.4842232174
564	0.4841850705
565	0.4841173808
566	0.4840060764
567	0.483950848
568	0.483876631
569	0.4838119507
570	0.4837560018
571	0.4836487664
572	0.4834986793
573	0.4833675808
574	0.4832726796
575	0.4832069397
576	0.483106486
577	0.483030955
578	0.4829772102
579	0.4828755697
580	0.482810296
581	0.4827041626
582	0.4825061374
583	0.4824154324
584	0.4823501587
585	0.4823492262
586	0.4822743734
587	0.48212844
588	0.482039388
589	0.4819941627
590	0.4818514506
591	0.481810591
592	0.4816862318
593	0.4814782884
594	0.4813031514
595	0.4810440487
596	0.4809187147
597	0.4808516608
598	0.4808119456
599	0.480715349
600	0.4805207994
601	0.4804221683
602	0.4803886414
603	0.480252711
604	0.4801514096
605	0.4800819397
606	0.479972246
607	0.4798051622
608	0.4796474881
609	0.479575136
610	0.479439799
611	0.4793583764
612	0.4792593638
613	0.4791509416
614	0.479000685
615	0.4788816664
616	0.47876464
617	0.4786565145
618	0.4785525004
619	0.4784596761
620	0.4783948263
621	0.4782627106
622	0.4781976912
623	0.4780685425
624	0.4780125088
625	0.4778336843
626	0.4776874966
627	0.4775877211
628	0.4774332258
629	0.4773382399
630	0.4772423214
631	0.4771803962
632	0.4770206451
633	0.4768581814
634	0.4767248789
635	0.4766335381
636	0.4765450795
637	0.4764867995
638	0.4763848199
639	0.4763200548
640	0.4761934916
641	0.4760792202
642	0.4759692298
643	0.4758891212
644	0.4757631938
645	0.4756455315
646	0.4755259196
647	0.4753828261
648	0.4752455817
649	0.4750538296
650	0.4749849108
651	0.4748695374
652	0.4747178819
653	0.4745850881
654	0.474493493
655	0.4744062636
656	0.4743242052
657	0.4741950989
658	0.4740756141
659	0.4739053514
660	0.4737675137
661	0.4737106323
662	0.4736267938
663	0.473521381
664	0.473432329
665	0.4733606974
666	0.4732335409
667	0.4731075711
668	0.4730177138
669	0.4728903453
670	0.4727138943
671	0.4725217183
672	0.4723808289
673	0.4722979228
674	0.4722041236
675	0.472094006
676	0.4720173306
677	0.4718830532
678	0.4717620002
679	0.4717036777
680	0.4716105143
681	0.4714125315
682	0.4713279724
683	0.4712165833
684	0.4711126116
685	0.4710394541
686	0.4709211561
687	0.4707243178
688	0.470607037
689	0.4704065959
690	0.4702863905
691	0.4702100966
692	0.47003479
693	0.4699344211
694	0.4698496501
695	0.4697647942
696	0.469672309
697	0.4696198357
698	0.4693930732
699	0.4692181481
700	0.4691270616
701	0.4689968533
702	0.468950314
703	0.4688468085
704	0.4687852648
705	0.4686741299
706	0.4685677422
707	0.4684559716
708	0.4682936351
709	0.4682188246
710	0.4680981106
711	0.4680371602
712	0.4679255168
713	0.467749744
714	0.4676230113
715	0.4675244225
716	0.4673995548
717	0.4672715929
718	0.467090861
719	0.4669696808
720	0.4668646071
721	0.4667783949
722	0.4666348775
723	0.4665663825
724	0.4665189955
725	0.4663766225
726	0.4662975311
727	0.4661248101
728	0.4660037147
729	0.4659065247
730	0.4657681783
731	0.4656775157
732	0.4655602349
733	0.4655201382
734	0.4654019674
735	0.4652698941
736	0.4650490655
737	0.464920934
738	0.464833747
739	0.4646478017
740	0.4645740509
741	0.4644388835
742	0.4643203735
743	0.4641463386
744	0.4640857697
745	0.4639160156
746	0.4638364156
747	0.4637700399
748	0.463640764
749	0.4634689331
750	0.4633528815
751	0.4630818261
752	0.4629408942
753	0.4628549364
754	0.462655131
755	0.462543318
756	0.4624646929
757	0.462379498
758	0.4622792562
759	0.4621133592
760	0.4619583978
761	0.4618448893
762	0.4617470211
763	0.461631563
764	0.4614729987
765	0.4613376194
766	0.4611303118
767	0.4610389709
768	0.4608572218
769	0.4607732137
770	0.4606319851
771	0.4604596456
772	0.4603282505
773	0.4602550083
774	0.4602140639
775	0.4601634555
776	0.4600132412
777	0.4598516676
778	0.4597802904
779	0.4597187466
780	0.4596536424
781	0.4595753988
782	0.4595009274
783	0.459262085
784	0.4591782464
785	0.4590364668
786	0.4589262221
787	0.458803304
788	0.4586597866
789	0.4584948222
790	0.4583678775
791	0.4582933638
792	0.4580593533
793	0.4579966651
794	0.4579054938
795	0.4577810499
796	0.457641432
797	0.4575115628
798	0.4573899163
799	0.4573451148
800	0.4572308434
801	0.4570500268
802	0.4569813199
803	0.4568641663
